race,circuit,driver,grid,actual_stops,actual_comp,actual_pits,p1_stops,p1_comp,p1_pits,set1,ord1,stop1,set_topk,ord_topk,in_short,pit_err_first,pit_err_all,shown,field_shown
2025R5,Jeddah,VER,1,1,MEDIUM-HARD,[21],1,MEDIUM-HARD,[14],1,1,1,1,1,1,7,[7],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,PIA,2,1,MEDIUM-HARD,[19],1,MEDIUM-HARD,[14],1,1,1,1,1,1,5,[5],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,RUS,3,1,MEDIUM-HARD,[20],1,MEDIUM-HARD,[14],1,1,1,1,1,1,6,[6],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,LEC,4,1,MEDIUM-HARD,[29],1,MEDIUM-HARD,[14],1,1,1,1,1,1,15,[15],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,ANT,5,1,MEDIUM-HARD,[19],1,MEDIUM-HARD,[14],1,1,1,1,1,1,5,[5],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,SAI,6,1,MEDIUM-HARD,[21],1,MEDIUM-HARD,[14],1,1,1,1,1,1,7,[7],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,HAM,7,1,MEDIUM-HARD,[23],1,MEDIUM-HARD,[14],1,1,1,1,1,1,9,[9],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,NOR,10,1,HARD-MEDIUM,[34],1,MEDIUM-HARD,[14],1,0,1,1,0,1,20,[20],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,ALB,11,1,MEDIUM-HARD,[22],1,MEDIUM-HARD,[14],1,1,1,1,1,1,8,[8],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,LAW,12,1,MEDIUM-HARD,[20],1,MEDIUM-HARD,[14],1,1,1,1,1,1,6,[6],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,ALO,13,1,MEDIUM-HARD,[19],1,MEDIUM-HARD,[14],1,1,1,1,1,1,5,[5],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,HAD,14,1,HARD-MEDIUM,[34],1,MEDIUM-HARD,[14],1,0,1,1,0,1,20,[20],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,BEA,15,1,MEDIUM-HARD,[18],1,MEDIUM-HARD,[14],1,1,1,1,1,1,4,[4],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,STR,16,1,HARD-MEDIUM,[39],1,MEDIUM-HARD,[14],1,0,1,1,0,1,25,[25],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,DOO,17,1,HARD-HARD,[32],1,MEDIUM-HARD,[14],0,0,1,0,0,0,18,[18],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,HUL,18,1,HARD-MEDIUM,[33],1,MEDIUM-HARD,[14],1,0,1,1,0,1,19,[19],"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
2025R5,Jeddah,OCO,19,0,HARD,[],1,MEDIUM-HARD,[14],0,0,0,0,0,0,,,"[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]","[""MEDIUM-HARD"", ""MEDIUM-SOFT"", ""MEDIUM-HARD-HARD"", ""MEDIUM-HARD-MEDIUM"", ""SOFT-HARD""]"
