race,circuit,driver,grid,actual_stops,actual_comp,actual_pits,p1_stops,p1_comp,p1_pits,set1,ord1,stop1,set_topk,ord_topk,in_short,pit_err_first,pit_err_all
2026R2,Shanghai,ANT,1,1,MEDIUM-HARD,[10],1,MEDIUM-HARD,[16],1,1,1,1,1,1,6,[6]
2026R2,Shanghai,RUS,2,1,MEDIUM-HARD,[10],1,MEDIUM-HARD,[16],1,1,1,1,1,1,6,[6]
2026R2,Shanghai,HAM,3,1,MEDIUM-HARD,[10],1,MEDIUM-HARD,[16],1,1,1,1,1,1,6,[6]
2026R2,Shanghai,LEC,4,1,MEDIUM-HARD,[10],1,MEDIUM-HARD,[16],1,1,1,1,1,1,6,[6]
2026R2,Shanghai,GAS,7,1,MEDIUM-HARD,[10],1,MEDIUM-HARD,[16],1,1,1,1,1,1,6,[6]
2026R2,Shanghai,HAD,9,1,HARD-HARD,[10],1,MEDIUM-HARD,[16],0,0,1,0,0,0,6,[6]
2026R2,Shanghai,BEA,10,1,MEDIUM-HARD,[10],1,MEDIUM-HARD,[16],1,1,1,1,1,1,6,[6]
2026R2,Shanghai,HUL,11,1,HARD-MEDIUM,[35],1,MEDIUM-HARD,[16],1,0,1,1,0,1,19,[19]
2026R2,Shanghai,COL,12,1,HARD-MEDIUM,[32],1,MEDIUM-HARD,[16],1,0,1,1,0,1,16,[16]
2026R2,Shanghai,OCO,13,2,HARD-MEDIUM-SOFT,"[29, 46]",1,MEDIUM-HARD,[16],0,0,0,1,0,1,,
2026R2,Shanghai,LAW,14,1,MEDIUM-HARD,[9],1,MEDIUM-HARD,[16],1,1,1,1,1,1,7,[7]
2026R2,Shanghai,LIN,15,1,HARD-MEDIUM,[42],1,MEDIUM-HARD,[16],1,0,1,1,0,1,26,[26]
2026R2,Shanghai,SAI,17,1,MEDIUM-HARD,[9],1,MEDIUM-HARD,[16],1,1,1,1,1,1,7,[7]
2026R2,Shanghai,BOT,19,1,MEDIUM-HARD,[10],1,MEDIUM-HARD,[16],1,1,1,1,1,1,6,[6]
2026R2,Shanghai,PER,21,1,MEDIUM-HARD,[11],1,MEDIUM-HARD,[16],1,1,1,1,1,1,5,[5]
2026R1,Melbourne,RUS,1,1,MEDIUM-HARD,[12],1,MEDIUM-HARD,[9],1,1,1,1,1,1,3,[3]
2026R1,Melbourne,ANT,2,1,MEDIUM-HARD,[12],1,MEDIUM-HARD,[9],1,1,1,1,1,1,3,[3]
